distance	step	temp	time
2990.0	0	100	0
555.0	1	100.0	0.1524038314819336
553.0	2	99.0	0.19071102142333984
551.0	3	98.0	0.22965502738952637
538.0	4	97.0	0.3052799701690674
538.0	5	96.1	0.3437509536743164
531.0	6	95.1	0.3820829391479492
531.0	7	94.1	0.42032790184020996
531.0	8	93.2	0.4579789638519287
529.0	9	92.30000000000001	0.49655795097351074
529.0	10	91.4	0.5345118045806885
527.0	11	90.4	0.5736088752746582
525.0	12	89.5	0.6113159656524658
525.0	13	88.6	0.6493780612945557
525.0	14	87.8	0.6870138645172119
525.0	15	86.9	0.7247428894042969
521.0	16	86.0	0.7996668815612793
521.0	17	85.1	0.8371379375457764
518.0	18	84.3	0.8747351169586182
517.0	19	83.5	0.913006067276001
517.0	20	82.6	0.9507980346679688
517.0	21	81.8	0.9888489246368408
517.0	22	81.0	1.027336835861206
515.0	23	80.2	1.0660741329193115
515.0	24	79.4	1.1038219928741455
515.0	25	78.60000000000001	1.1415019035339355
515.0	26	77.8	1.1793029308319092
515.0	27	77.0	1.2170789241790771
515.0	28	76.2	1.2553229331970215
515.0	29	75.5	1.2935049533843994
515.0	30	74.7	1.331178903579712
515.0	31	74.0	1.3688089847564697
509.0	32	73.2	1.4064879417419434
509.0	33	72.5	1.4440608024597168
509.0	34	71.8	1.481909990310669
509.0	35	71.1	1.5195021629333496
509.0	36	70.3	1.5572128295898438
508.0	37	69.6	1.5947859287261963
508.0	38	68.89999999999999	1.6324939727783203
508.0	39	68.30000000000001	1.6700260639190674
508.0	40	67.60000000000001	1.707732915878296
507.0	41	66.9	1.7452318668365479
507.0	42	66.2	1.7829959392547607
507.0	43	65.60000000000001	1.8205928802490234
507.0	44	64.9	1.8583128452301025
507.0	45	64.3	1.896388053894043
507.0	46	63.6	1.9341487884521484
507.0	47	63.0	1.971634864807129
507.0	48	62.4	2.009387969970703
507.0	49	61.7	2.047213077545166
507.0	50	61.1	2.0863099098205566
507.0	51	60.5	2.1241049766540527
507.0	52	59.9	2.161864995956421
507.0	53	59.3	2.199497938156128
507.0	54	58.699999999999996	2.2374160289764404
507.0	55	58.099999999999994	2.2754359245300293
507.0	56	57.49999999999999	2.313014030456543
507.0	57	56.99999999999999	2.3507678508758545
507.0	58	56.39999999999999	2.3888819217681885
507.0	59	55.800000000000004	2.426485061645508
507.0	60	55.300000000000004	2.464200019836426
507.0	61	54.7	2.5017988681793213
507.0	62	54.2	2.539363145828247
507.0	63	53.6	2.577159881591797
507.0	64	53.1	2.6151411533355713
507.0	65	52.6	2.6524829864501953
507.0	66	52.0	2.6901729106903076
507.0	67	51.5	2.7275819778442383
507.0	68	51.0	2.7652809619903564
507.0	69	50.5	2.803034782409668
507.0	70	50.0	2.8407459259033203
507.0	71	49.5	2.878216028213501
507.0	72	49.0	2.9159739017486572
507.0	73	48.5	2.953584909439087
507.0	74	48.0	3.028090000152588
507.0	75	47.5	3.0658061504364014
506.0	76	47.099999999999994	3.1411759853363037
506.0	77	46.6	3.179385185241699
506.0	78	46.1	3.217254877090454
506.0	79	45.7	3.2552080154418945
506.0	80	45.2	3.2933239936828613
506.0	81	44.800000000000004	3.331295967102051
506.0	82	44.3	3.3840320110321045
505.0	83	43.9	3.458897829055786
505.0	84	43.4	3.4967658519744873
505.0	85	43.0	3.534747838973999
505.0	86	42.6	3.5729410648345947
505.0	87	42.1	3.6110329627990723
505.0	88	41.699999999999996	3.648905038833618
505.0	89	41.3	3.686784029006958
505.0	90	40.9	3.724764823913574
505.0	91	40.5	3.762618064880371
505.0	92	40.1	3.8003649711608887
505.0	93	39.7	3.8382761478424072
505.0	94	39.300000000000004	3.876471996307373
505.0	95	38.9	3.914409875869751
505.0	96	38.5	3.9521548748016357
505.0	97	38.1	3.9899439811706543
505.0	98	37.7	4.027617931365967
505.0	99	37.3	4.06559419631958
505.0	100	37.0	4.103766918182373
